epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,13484.4,0.51864,0.3798,1.00913,0.95776,0.89101,0.92225,0.83747,0.44027,0.32165,0.92988,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
43,13800.9,0.5208,0.37891,1.00895,0.95559,0.89344,0.92261,0.83783,0.43654,0.32142,0.92674,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
44,14117.6,0.51272,0.37193,1.00361,0.95869,0.88874,0.9227,0.83837,0.43527,0.31909,0.92594,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
45,14433.8,0.5132,0.37339,1.00745,0.96495,0.88608,0.92223,0.83763,0.43512,0.32046,0.9257,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
46,14750.4,0.50416,0.36296,1.00197,0.96661,0.88494,0.92249,0.8378,0.4345,0.32086,0.92532,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
47,15067.6,0.50278,0.36067,0.9986,0.95311,0.8957,0.92182,0.8376,0.43467,0.32118,0.92591,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
48,15384.3,0.50229,0.36231,0.99959,0.95371,0.89482,0.92162,0.83813,0.43395,0.32219,0.92615,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
49,15700.5,0.49733,0.35461,0.99796,0.95903,0.8932,0.92143,0.83817,0.43391,0.32314,0.92657,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
50,16016.9,0.49496,0.35082,0.99401,0.95619,0.89492,0.92066,0.83877,0.43378,0.3238,0.92626,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
51,16364.4,0.39252,0.26411,0.92772,0.9554,0.89566,0.9204,0.83912,0.43328,0.32388,0.92492,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
52,16678.7,0.38506,0.25711,0.9223,0.9542,0.89652,0.92059,0.83999,0.43262,0.32395,0.92366,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
53,16992.8,0.38021,0.2505,0.91921,0.95564,0.89764,0.92048,0.84007,0.43166,0.32362,0.92267,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
54,17306.3,0.37504,0.2439,0.91533,0.95439,0.89781,0.92037,0.84038,0.43045,0.32342,0.92157,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
55,17620.2,0.37203,0.24202,0.91421,0.95653,0.8962,0.92097,0.84055,0.42958,0.32328,0.92054,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
56,17934,0.36551,0.23652,0.91114,0.95784,0.89622,0.92112,0.84018,0.42882,0.32319,0.91992,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925
57,18248,0.36193,0.23222,0.90914,0.95807,0.89623,0.92139,0.84145,0.42871,0.32278,0.91957,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
58,18562.4,0.35904,0.22781,0.90571,0.9582,0.8964,0.92129,0.8415,0.42875,0.32307,0.91952,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
59,18877.2,0.35405,0.22279,0.9036,0.95827,0.89732,0.92142,0.84141,0.42866,0.32339,0.91926,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
60,19191.7,0.35068,0.22135,0.90109,0.95807,0.8971,0.92114,0.84181,0.42838,0.32506,0.91876,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265
